jpeg_variant,target_size_kb,image_name,decoded_size_kb,encoded_size_kb,brisque,niqe,nima,clip
j2k,25,testimages_keyboard_b,1629.5771484375,24.22265625,52.05633544921875,6.094394648605041,4.31188440322876,0.47642797231674194
j2k,25,testimages_lion,1247.333984375,24.212890625,18.97039794921875,5.853216080251774,4.544031620025635,0.6645275950431824
j2k,25,testimages_multimeter,1579.10546875,24.23828125,39.41424560546875,7.470608223459077,3.8461720943450928,0.5445470213890076
j2k,25,testimages_pencils_a,1495.416015625,24.1806640625,84.81756591796875,10.03994232899917,5.5059814453125,0.7322980165481567
j2k,25,testimages_pencils_b,1493.373046875,24.2314453125,80.81024169921875,7.272903513324023,5.559736251831055,0.5800954699516296
j2k,25,testimages_pillar,1562.953125,24.1416015625,31.20477294921875,7.196110439889235,4.350225925445557,0.6379967927932739
j2k,25,testimages_plastic,1649.728515625,23.8935546875,21.95330810546875,9.662139548868463,4.986795902252197,0.7177130579948425
j2k,25,testimages_roof,1290.4501953125,24.2587890625,106.10516357421875,11.853222276138935,4.8838677406311035,0.5515791773796082
j2k,25,testimages_scarf,1900.0419921875,24.0341796875,54.75799560546875,17.584185182150872,4.517323017120361,0.3832302987575531
j2k,25,testimages_screws,1890.4453125,24.220703125,51.41668701171875,12.236544010566217,4.712182521820068,0.46270594000816345
j2k,25,testimages_snails,1576.6728515625,24.369140625,48.24285888671875,8.478512572184146,4.349892616271973,0.4605638086795807
j2k,25,testimages_socks,1824.44921875,24.0107421875,42.75653076171875,10.366048270540865,5.175254821777344,0.3499155640602112
j2k,25,testimages_sweets,1719.7939453125,23.9794921875,58.65789794921875,13.597826194659008,4.040121555328369,0.3064608573913574
j2k,25,testimages_tomatoes_a,1639.259765625,24.2568359375,68.13348388671875,13.884891963103298,4.961395740509033,0.41940879821777344
j2k,25,testimages_tomatoes_b,1579.654296875,24.208984375,57.96600341796875,10.477311298845263,4.487066745758057,0.3282892107963562
j2k,25,testimages_tools_a,1733.98828125,24.23046875,52.05731201171875,10.506800026732758,4.45200777053833,0.2720952332019806
j2k,25,testimages_tools_b,1657.0859375,24.2529296875,62.96844482421875,9.810308919702818,4.440448760986328,0.604576587677002
j2k,25,testimages_wood_game,1322.658203125,24.1484375,36.36639404296875,8.168355423457195,4.433620929718018,0.4648684561252594
j2k,50,testimages_almonds,1801.1630859375,47.9111328125,33.65203857421875,7.901496757325028,4.409209728240967,0.39076894521713257
j2k,50,testimages_apples,1567.5732421875,47.841796875,35.58758544921875,6.716533962650089,4.4151611328125,0.7745103240013123
j2k,50,testimages_baloons,1681.5302734375,47.9521484375,48.27264404296875,9.726827174859714,4.425682067871094,0.441621869802475
j2k,50,testimages_bananas,1702.9140625,47.8818359375,22.41522216796875,5.452883994827488,4.046041488647461,0.7781003713607788
j2k,50,testimages_billiard_balls_a,1583.244140625,47.9541015625,57.90887451171875,7.688613482927463,4.814477443695068,0.4171135425567627
j2k,50,testimages_billiard_balls_b,1671.328125,47.9443359375,42.13006591796875,6.537493230928669,4.800971031188965,0.41597455739974976
j2k,50,testimages_building,1692.671875,47.953125,31.41473388671875,5.541285865477068,4.639849662780762,0.44477710127830505
j2k,50,testimages_cards_a,1843.865234375,47.919921875,23.81463623046875,4.825485090803745,4.670863151550293,0.324291855096817
j2k,50,testimages_cards_b,1645.0498046875,47.8505859375,15.61590576171875,5.3694827629409465,5.197507381439209,0.3006429076194763
j2k,50,testimages_carrots,1741.6630859375,47.9189453125,39.63299560546875,8.327431986132968,5.3331193923950195,0.4687361717224121
j2k,50,testimages_chairs,1448.1845703125,47.9482421875,77.62420654296875,10.38726843921442,5.623207092285156,0.7140002250671387
j2k,50,testimages_clips,1916.431640625,47.841796875,92.5078125,11.115858375908461,5.046319484710693,0.24522480368614197
j2k,50,testimages_coins,1834.5283203125,47.888671875,21.04803466796875,4.864082039497253,4.2916412353515625,0.5240579843521118
j2k,50,testimages_cushions,1590.6484375,47.9052734375,28.96746826171875,5.315482875444091,4.388634204864502,0.40201932191848755
j2k,50,testimages_ducks,1582.8017578125,47.91796875,56.03533935546875,10.22345112166823,4.882669925689697,0.6870487928390503
j2k,50,testimages_fence,1609.0830078125,47.9462890625,54.33172607421875,6.998332332503117,5.423601150512695,0.43908119201660156
j2k,50,testimages_flowers,1849.123046875,47.693359375,31.30828857421875,6.000063940835425,4.1719651222229,0.6035272479057312
j2k,50,testimages_garden_table,1820.091796875,48.732421875,23.35760498046875,4.2369822167663695,4.649178981781006,0.6091331839561462
j2k,50,testimages_guitar_bridge,1745.3525390625,48.82421875,16.12811279296875,6.8100084664724765,4.891090393066406,0.4958694577217102
j2k,50,testimages_guitar_fret,1619.8408203125,47.857421875,41.65057373046875,5.9996967313669,4.7381181716918945,0.4140048921108246
j2k,50,testimages_guitar_head,1778.5126953125,47.7998046875,36.05584716796875,6.1525835757884515,4.664706707000732,0.6832691431045532
j2k,50,testimages_keyboard_a,1797.125,47.947265625,11.61395263671875,9.217466394522354,4.857513427734375,0.34492820501327515
j2k,50,testimages_keyboard_b,1728.9345703125,47.8203125,40.42059326171875,5.272011282982413,4.221782684326172,0.48361867666244507
j2k,50,testimages_lion,1267.0205078125,47.8486328125,11.63006591796875,4.053905785647289,4.717496871948242,0.7206975817680359
j2k,50,testimages_multimeter,1743.8779296875,48.8056640625,35.61444091796875,5.137474550309478,3.925414562225342,0.5620407462120056
j2k,50,testimages_pencils_a,1539.271484375,47.845703125,80.77801513671875,7.984742091094542,5.425287246704102,0.7000885605812073
j2k,50,testimages_pencils_b,1524.966796875,47.91015625,75.96405029296875,5.869399109640324,5.5147480964660645,0.5887230038642883
j2k,50,testimages_pillar,1626.85546875,47.86328125,18.27069091796875,4.518771971941605,4.501224040985107,0.6664050817489624
j2k,50,testimages_plastic,1756.2470703125,48.822265625,18.91864013671875,7.103667019163106,5.067689418792725,0.7450827956199646
j2k,50,testimages_roof,1323.4912109375,47.9072265625,104.66424560546875,12.0615901720236,4.989016532897949,0.4994540810585022
j2k,50,testimages_scarf,1932.9951171875,47.8603515625,54.74676513671875,9.852026485849706,4.608762741088867,0.4312341809272766
j2k,50,testimages_screws,1913.1708984375,47.7099609375,38.00262451171875,7.293243283413767,4.845062732696533,0.4385007917881012
j2k,50,testimages_snails,1621.859375,48.80078125,35.30780029296875,5.655299774420097,4.593257427215576,0.40268462896347046
j2k,50,testimages_socks,1892.4501953125,48.7119140625,20.41033935546875,7.994623959129574,5.28079891204834,0.3060563802719116
j2k,50,testimages_sweets,1742.111328125,47.73046875,43.84490966796875,9.135879786572481,4.292721271514893,0.35334548354148865
j2k,50,testimages_tomatoes_a,1669.798828125,47.927734375,53.44500732421875,12.39302040318068,5.135982990264893,0.43184882402420044
j2k,50,testimages_tomatoes_b,1610.73046875,47.9482421875,53.34832763671875,9.012996796943698,4.5199384689331055,0.34301793575286865
j2k,50,testimages_tools_a,1759.6318359375,47.9072265625,40.49481201171875,7.6745456076514555,4.664603233337402,0.2782796621322632
j2k,50,testimages_tools_b,1742.0986328125,47.892578125,47.07147216796875,7.488930387782333,4.610062599182129,0.6661660075187683
j2k,50,testimages_wood_game,1401.5908203125,47.7939453125,26.85418701171875,6.054556436033336,4.541595935821533,0.48827362060546875
j2k,75,testimages_almonds,1831.4296875,72.6640625,22.47332763671875,4.51718104113601,4.525915622711182,0.395518958568573
j2k,75,testimages_apples,1616.4091796875,72.7177734375,27.16326904296875,5.489874272562701,4.5228590965271,0.7757381200790405
j2k,75,testimages_baloons,1688.99609375,72.7265625,44.10858154296875,8.319141414961344,4.51369047164917,0.4520016610622406
j2k,75,testimages_bananas,1732.611328125,72.7109375,13.30584716796875,4.652559132369744,4.101140975952148,0.7775384187698364
j2k,75,testimages_billiard_balls_a,1596.6494140625,72.5498046875,54.34393310546875,6.29447169874065,4.83551025390625,0.43606263399124146
j2k,75,testimages_billiard_balls_b,1703.3564453125,72.6337890625,31.71697998046875,5.505649869240196,4.842557907104492,0.4170458912849426
j2k,75,testimages_building,1699.0048828125,72.716796875,29.19793701171875,4.680723760024246,4.7147111892700195,0.5133455991744995
j2k,75,testimages_cards_a,1850.5068359375,72.666015625,14.39666748046875,3.330780523076192,4.7824578285217285,0.36476919054985046
