image_id,format,target_size,file_path,brisque,niqe,nima,clip
testimages_cushions,jpeg,50000,../imgs/jpeg_dec/50000/testimages_cushions.png,21.22821044921875,4.407937686181661,4.381906032562256,0.3992310166358948
testimages_cards_b,jpeg,50000,../imgs/jpeg_dec/50000/testimages_cards_b.png,8.86248779296875,6.432654246531502,5.289530277252197,0.546451985836029
testimages_billiard_balls_a,jpeg,50000,../imgs/jpeg_dec/50000/testimages_billiard_balls_a.png,44.35906982421875,5.309666485453927,4.752676486968994,0.5047127604484558
testimages_chairs,jpeg,50000,../imgs/jpeg_dec/50000/testimages_chairs.png,65.89666748046875,8.353364543638337,5.561038970947266,0.7299513220787048
testimages_wood_game,jpeg,50000,../imgs/jpeg_dec/50000/testimages_wood_game.png,14.51971435546875,4.739131214869368,4.512191295623779,0.5499195456504822
testimages_pencils_a,jpeg,50000,../imgs/jpeg_dec/50000/testimages_pencils_a.png,73.05633544921875,5.5371982326050935,5.395620822906494,0.7261992692947388
testimages_tomatoes_a,jpeg,50000,../imgs/jpeg_dec/50000/testimages_tomatoes_a.png,35.00701904296875,7.803602792393779,5.020752429962158,0.545686662197113
testimages_pillar,jpeg,50000,../imgs/jpeg_dec/50000/testimages_pillar.png,13.37567138671875,3.008439404928092,4.467264652252197,0.7445691823959351
testimages_lion,jpeg,50000,../imgs/jpeg_dec/50000/testimages_lion.png,7.66375732421875,3.492350685348936,4.706538200378418,0.8036433458328247
testimages_apples,jpeg,50000,../imgs/jpeg_dec/50000/testimages_apples.png,21.22918701171875,4.41679527380412,4.513451099395752,0.7704158425331116
testimages_keyboard_a,jpeg,50000,../imgs/jpeg_dec/50000/testimages_keyboard_a.png,14.61688232421875,6.285401737808437,4.8084564208984375,0.4286859631538391
testimages_tomatoes_b,jpeg,50000,../imgs/jpeg_dec/50000/testimages_tomatoes_b.png,42.90203857421875,7.990826716043465,4.379955768585205,0.435722291469574
testimages_cards_a,jpeg,75000,../imgs/jpeg_dec/75000/testimages_cards_a.png,10.08660888671875,2.9321687950336517,4.8722147941589355,0.5902963280677795
testimages_baloons,jpeg,75000,../imgs/jpeg_dec/75000/testimages_baloons.png,37.25750732421875,6.080077331743908,4.514087200164795,0.48785391449928284
testimages_almonds,jpeg,75000,../imgs/jpeg_dec/75000/testimages_almonds.png,17.34100341796875,3.098844199903213,4.560820579528809,0.4794117510318756
testimages_guitar_fret,jpeg,75000,../imgs/jpeg_dec/75000/testimages_guitar_fret.png,24.04119873046875,3.919923591079806,4.712935447692871,0.571304202079773
testimages_plastic,jpeg,75000,../imgs/jpeg_dec/75000/testimages_plastic.png,22.42889404296875,6.087397096878205,5.083998203277588,0.7561447620391846
testimages_fence,jpeg,75000,../imgs/jpeg_dec/75000/testimages_fence.png,45.26678466796875,5.87367342185681,5.4039306640625,0.5291625261306763
testimages_ducks,jpeg,75000,../imgs/jpeg_dec/75000/testimages_ducks.png,39.13201904296875,7.186174604542375,4.926239490509033,0.7871743440628052
testimages_guitar_bridge,jpeg,75000,../imgs/jpeg_dec/75000/testimages_guitar_bridge.png,-4.83380126953125,4.0635415628743665,4.888570785522461,0.586077094078064
testimages_sweets,jpeg,75000,../imgs/jpeg_dec/75000/testimages_sweets.png,24.77264404296875,4.221831518313744,4.375795364379883,0.5337600708007812
testimages_snails,jpeg,75000,../imgs/jpeg_dec/75000/testimages_snails.png,21.00115966796875,3.7658688381555003,4.597026348114014,0.5726590752601624
testimages_guitar_head,jpeg,75000,../imgs/jpeg_dec/75000/testimages_guitar_head.png,26.37030029296875,2.8942103882022625,4.755467414855957,0.8268076777458191
testimages_bananas,jpeg,75000,../imgs/jpeg_dec/75000/testimages_bananas.png,13.92742919921875,5.11677861474961,4.096161365509033,0.8309137225151062
testimages_keyboard_b,jpeg,75000,../imgs/jpeg_dec/75000/testimages_keyboard_b.png,23.77996826171875,3.856330485504964,4.192480564117432,0.5567011833190918
testimages_scarf,jpeg,75000,../imgs/jpeg_dec/75000/testimages_scarf.png,44.96600341796875,5.994522627277089,4.648128986358643,0.5703125
